tabla,campo,field_source,tipo_codigo,subtipo,field_precision,longitud_bytes,longitud,escala,charset_id,collation_id,es_nulo,default_source,computed_source,tiene_default_flag,es_computed_flag,posicion,descripcion,charset_name,collation_name,tipo_base,tipo_detalle,rol_sugerido,es_computed,tiene_default
BENEF,NUM_REG,RDB$2173,8,0.0,0.0,4,4,0,,,NO,,,0,0,0,,,,numero,INTEGER,clave,0,0
BENEF,NOMBRE,RDB$2174,37,0.0,,254,254,0,21.0,,SI,,,0,0,1,,ISO8859_1,,texto,VARCHAR(254),descripcion,0,0
BENEF,RFC,RDB$2175,37,0.0,,15,15,0,21.0,,SI,,,0,0,2,,ISO8859_1,,texto,VARCHAR(15),otro,0,0
BENEF,CTA_CONTAB,RDB$2176,37,0.0,,40,40,0,21.0,,SI,,,0,0,3,,ISO8859_1,,texto,VARCHAR(40),otro,0,0
BENEF,TIPO,RDB$2177,37,0.0,,20,20,0,21.0,,SI,DEFAULT 'BENEFICIARIO',,1,0,4,,ISO8859_1,,texto,VARCHAR(20),otro,0,1
BENEF,INF_GENERAL,RDB$2178,37,0.0,,250,250,0,21.0,,SI,,,0,0,5,,ISO8859_1,,texto,VARCHAR(250),otro,0,0
BENEF,REFERENCIA,RDB$2179,37,0.0,,20,20,0,21.0,,SI,,,0,0,6,,ISO8859_1,,texto,VARCHAR(20),otro,0,0
BENEF,BANCO,RDB$2180,37,0.0,,30,30,0,21.0,,SI,,,0,0,7,,ISO8859_1,,texto,VARCHAR(30),otro,0,0
BENEF,SUCURSAL,RDB$2181,37,0.0,,30,30,0,21.0,,SI,,,0,0,8,,ISO8859_1,,texto,VARCHAR(30),otro,0,0
BENEF,CUENTA,RDB$2182,37,0.0,,30,30,0,21.0,,SI,,,0,0,9,,ISO8859_1,,texto,VARCHAR(30),otro,0,0
BENEF,CLABE,RDB$2183,37,0.0,,30,30,0,21.0,,SI,,,0,0,10,,ISO8859_1,,texto,VARCHAR(30),otro,0,0
BENEF,CVE_BANCO,RDB$2184,37,0.0,,30,30,0,21.0,,SI,,,0,0,11,,ISO8859_1,,texto,VARCHAR(30),clave,0,0
BENEF,ESBANCOEXT,RDB$2185,8,0.0,0.0,4,4,0,,,SI,DEFAULT 0,,1,0,12,,,,numero,INTEGER,otro,0,1
BENEF,BANCODESC,RDB$2186,37,0.0,,20,20,0,21.0,,SI,,,0,0,13,,ISO8859_1,,texto,VARCHAR(20),otro,0,0
BENEF,RFCBANCO,RDB$2187,37,0.0,,15,15,0,21.0,,SI,,,0,0,14,,ISO8859_1,,texto,VARCHAR(15),otro,0,0
COMD,CVE_CONCEP,RDB$2147,37,0.0,,6,6,0,21.0,,NO,,,0,0,0,,ISO8859_1,,texto,VARCHAR(6),clave,0,0
COMD,TIPO,RDB$2148,37,0.0,,5,5,0,21.0,,SI,DEFAULT 'CARGO',,1,0,1,,ISO8859_1,,texto,VARCHAR(5),otro,0,1
COMD,CONCEP,RDB$2149,37,0.0,,30,30,0,21.0,,SI,,,0,0,2,,ISO8859_1,,texto,VARCHAR(30),otro,0,0
COMD,CONCEPSAE,RDB$2150,8,0.0,0.0,4,4,0,,,SI,DEFAULT 0,,1,0,3,,,,numero,INTEGER,otro,0,1
COMD,CTA_CONTAB,RDB$2151,37,0.0,,40,40,0,21.0,,SI,,,0,0,4,,ISO8859_1,,texto,VARCHAR(40),otro,0,0
COMD,ESTADO,RDB$2152,8,0.0,0.0,4,4,0,,,SI,DEFAULT 1,,1,0,5,,,,numero,INTEGER,otro,0,1
COMD,IVA,RDB$2153,27,,,8,8,0,,,SI,DEFAULT 0,,1,0,6,,,,numero,DOUBLE,importe,0,1
COMD,CLASIFICACION,RDB$2154,37,0.0,,3,3,0,21.0,,SI,,,0,0,7,,ISO8859_1,,texto,VARCHAR(3),otro,0,0
COMD,PLANTILLA,RDB$2155,37,0.0,,50,50,0,21.0,,SI,,,0,0,8,,ISO8859_1,,texto,VARCHAR(50),otro,0,0
CONTROL,CTMONED,RDB$2113,8,0.0,0.0,4,4,0,,,SI,DEFAULT 0,,1,0,0,,,,numero,INTEGER,otro,0,1
CONTROL,CTCTAS,RDB$2114,8,0.0,0.0,4,4,0,,,SI,DEFAULT 0,,1,0,1,,,,numero,INTEGER,otro,0,1
CONTROL,CTCOMD,RDB$2115,8,0.0,0.0,4,4,0,,,SI,DEFAULT 0,,1,0,2,,,,numero,INTEGER,otro,0,1
CONTROL,CTBENEFICIARIOS,RDB$2116,8,0.0,0.0,4,4,0,,,SI,DEFAULT 0,,1,0,3,,,,numero,INTEGER,otro,0,1
CONTROL,CTFORMPAG,RDB$2117,8,0.0,0.0,4,4,0,,,SI,DEFAULT 0,,1,0,4,,,,numero,INTEGER,otro,0,1
CONTROL,CTCTECONC,RDB$2118,8,0.0,0.0,4,4,0,,,SI,DEFAULT 0,,1,0,5,,,,numero,INTEGER,otro,0,1
CONTROL,CTTRANSFERENCIA,RDB$2119,8,0.0,0.0,4,4,0,,,SI,DEFAULT 0,,1,0,6,,,,numero,INTEGER,otro,0,1
CONTROL,VER_BASDAT,RDB$2120,8,0.0,0.0,4,4,0,,,SI,DEFAULT 0,,1,0,7,,,,numero,INTEGER,otro,0,1
CONTROL,NUM_EMP,RDB$2121,8,0.0,0.0,4,4,0,,,SI,DEFAULT 0,,1,0,8,,,,numero,INTEGER,clave,0,1
CONTROLREGMOV,CUENTA,RDB$2122,8,0.0,0.0,4,4,0,,,NO,,,0,0,0,,,,numero,INTEGER,otro,0,0
CONTROLREGMOV,MOVIMIENTOS,RDB$2123,8,0.0,0.0,4,4,0,,,NO,,,0,0,1,,,,numero,INTEGER,otro,0,0
CONTROLREGMOV,PARTIDAS,RDB$2124,8,0.0,0.0,4,4,0,,,NO,,,0,0,2,,,,numero,INTEGER,otro,0,0
CONTROLREGMOV,UUIDS,RDB$2125,8,0.0,0.0,4,4,0,,,NO,,,0,0,3,,,,numero,INTEGER,otro,0,0
CTAS,NUM_REG,RDB$2126,8,0.0,0.0,4,4,0,,,NO,,,0,0,0,,,,numero,INTEGER,clave,0,0
CTAS,NUM_CTA,RDB$2127,37,0.0,,16,16,0,21.0,,SI,,,0,0,1,,ISO8859_1,,texto,VARCHAR(16),clave,0,0
CTAS,STATUS,RDB$2128,8,0.0,0.0,4,4,0,,,SI,DEFAULT 1,,1,0,2,,,,numero,INTEGER,estatus,0,1
CTAS,BANCO,RDB$2129,37,0.0,,20,20,0,21.0,,SI,,,0,0,3,,ISO8859_1,,texto,VARCHAR(20),otro,0,0
CTAS,SUCURSAL,RDB$2130,37,0.0,,6,6,0,21.0,,SI,,,0,0,4,,ISO8859_1,,texto,VARCHAR(6),otro,0,0
CTAS,MONEDA,RDB$2131,8,0.0,0.0,4,4,0,,,SI,DEFAULT 1,,1,0,5,,,,numero,INTEGER,otro,0,1
