tabla,constraint_name,constraint_type,index_name
BENEF,INTEG_332,NOT NULL,
BENEF,PK_BENEF,PRIMARY KEY,PK_BENEF
COMD,INTEG_326,NOT NULL,
COMD,PK_COMD,PRIMARY KEY,PK_COMD
CONTROLREGMOV,INTEG_320,NOT NULL,
CONTROLREGMOV,INTEG_321,NOT NULL,
CONTROLREGMOV,INTEG_322,NOT NULL,
CONTROLREGMOV,INTEG_323,NOT NULL,
CTAS,INTEG_324,NOT NULL,
CTAS,INTEG_325,NOT NULL,
CTAS,PK_CTAS,PRIMARY KEY,PK_CTAS
CTECONC,INTEG_333,NOT NULL,
CTECONC,INTEG_334,NOT NULL,
CTECONC,INTEG_335,NOT NULL,
CTECONC,INTEG_336,NOT NULL,
CTECONC,INTEG_337,NOT NULL,
CTECONC,INTEG_338,NOT NULL,
CTECONC,INTEG_339,NOT NULL,
CTECONC,INTEG_340,NOT NULL,
CTECONC,PK_CTECONC,PRIMARY KEY,PK_CTECONC
FORMPAGO,INTEG_331,NOT NULL,
FORMPAGO,PK_FORMPAGO,PRIMARY KEY,PK_FORMPAGO
HISTOR,INTEG_328,NOT NULL,
HISTOR,INTEG_329,NOT NULL,
HISTOR,INTEG_330,NOT NULL,
MONEDA,INTEG_327,NOT NULL,
MONEDA,PK_MONEDA,PRIMARY KEY,PK_MONEDA
MOVAUX,INTEG_343,NOT NULL,
MOVAUX,INTEG_344,NOT NULL,
MOVAUX2,INTEG_345,NOT NULL,
MOVAUX2,INTEG_346,NOT NULL,
MOVAUX2,INTEG_347,NOT NULL,
MOVS01,INTEG_349,NOT NULL,
MOVS01,INTEG_350,NOT NULL,
MOVS01,INTEG_351,NOT NULL,
MOVS01,INTEG_352,NOT NULL,
MOVS01,INTEG_353,NOT NULL,
MOVS01,INTEG_354,NOT NULL,
MOVS01,INTEG_355,NOT NULL,
MOVS01,INTEG_356,NOT NULL,
MOVS01,INTEG_357,NOT NULL,
MOVS01,PK_MOVS01,PRIMARY KEY,PK_MOVS01
MOVS02,INTEG_365,NOT NULL,
MOVS02,INTEG_366,NOT NULL,
MOVS02,INTEG_367,NOT NULL,
MOVS02,INTEG_368,NOT NULL,
MOVS02,INTEG_369,NOT NULL,
MOVS02,INTEG_370,NOT NULL,
MOVS02,INTEG_371,NOT NULL,
MOVS02,INTEG_372,NOT NULL,
MOVS02,INTEG_373,NOT NULL,
MOVS02,PK_MOVS02,PRIMARY KEY,PK_MOVS02
MOVS03,INTEG_381,NOT NULL,
MOVS03,INTEG_382,NOT NULL,
MOVS03,INTEG_383,NOT NULL,
MOVS03,INTEG_384,NOT NULL,
MOVS03,INTEG_385,NOT NULL,
MOVS03,INTEG_386,NOT NULL,
MOVS03,INTEG_387,NOT NULL,
MOVS03,INTEG_388,NOT NULL,
MOVS03,INTEG_389,NOT NULL,
MOVS03,PK_MOVS03,PRIMARY KEY,PK_MOVS03
MOVS04,INTEG_397,NOT NULL,
MOVS04,INTEG_398,NOT NULL,
MOVS04,INTEG_399,NOT NULL,
MOVS04,INTEG_400,NOT NULL,
