tabla,indice,unique_flag,inactive_flag,index_type,campo_indexado,posicion_en_indice,descripcion,unico,estado,orden
BENEF,PK_BENEF,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
COMD,PK_COMD,1.0,,,CVE_CONCEP,1,,SI,ACTIVO,ASC
CTAS,PK_CTAS,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
CTECONC,PK_CTECONC,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
CTECONC,PK_CTECONC,1.0,,,NUM_CTA,2,,SI,ACTIVO,ASC
FORMPAGO,PK_FORMPAGO,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MONEDA,PK_MONEDA,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS01,PK_MOVS01,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS02,PK_MOVS02,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS03,PK_MOVS03,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS04,PK_MOVS04,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS05,PK_MOVS05,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS06,PK_MOVS06,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS07,PK_MOVS07,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS08,PK_MOVS08,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS09,PK_MOVS09,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS10,PK_MOVS10,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS11,PK_MOVS11,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS12,PK_MOVS12,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS13,PK_MOVS13,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS14,PK_MOVS14,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS15,PK_MOVS15,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS16,PK_MOVS16,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS17,PK_MOVS17,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS18,PK_MOVS18,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS19,PK_MOVS19,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS20,PK_MOVS20,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS21,PK_MOVS21,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS22,PK_MOVS22,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS23,PK_MOVS23,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS24,PK_MOVS24,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS25,PK_MOVS25,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS26,PK_MOVS26,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS27,PK_MOVS27,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS28,PK_MOVS28,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS29,PK_MOVS29,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS30,PK_MOVS30,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS31,PK_MOVS31,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
MOVS32,PK_MOVS32,1.0,,,NUM_REG,1,,SI,ACTIVO,ASC
PARMOVS01,FK_PARMOVS_1,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS01,PK_PARMOVS01,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS02,FK_PARMOVS_2,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS02,PK_PARMOVS02,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS03,FK_PARMOVS_3,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS03,PK_PARMOVS03,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS04,FK_PARMOVS_4,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS04,PK_PARMOVS04,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS05,FK_PARMOVS_5,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS05,PK_PARMOVS05,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS06,FK_PARMOVS_6,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS06,PK_PARMOVS06,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS07,FK_PARMOVS_7,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS07,PK_PARMOVS07,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS08,FK_PARMOVS_8,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS08,PK_PARMOVS08,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS09,FK_PARMOVS_9,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS09,PK_PARMOVS09,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS10,FK_PARMOVS_10,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS10,PK_PARMOVS10,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS11,FK_PARMOVS_11,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS11,PK_PARMOVS11,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS12,FK_PARMOVS_12,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS12,PK_PARMOVS12,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS13,FK_PARMOVS_13,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS13,PK_PARMOVS13,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS14,FK_PARMOVS_14,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS14,PK_PARMOVS14,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS15,FK_PARMOVS_15,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS15,PK_PARMOVS15,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS16,FK_PARMOVS_16,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS16,PK_PARMOVS16,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS17,FK_PARMOVS_17,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS17,PK_PARMOVS17,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS18,FK_PARMOVS_18,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS18,PK_PARMOVS18,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS19,FK_PARMOVS_19,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS19,PK_PARMOVS19,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS20,FK_PARMOVS_20,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS20,PK_PARMOVS20,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS21,FK_PARMOVS_21,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS21,PK_PARMOVS21,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS22,FK_PARMOVS_22,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS22,PK_PARMOVS22,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS23,FK_PARMOVS_23,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS23,PK_PARMOVS23,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS24,FK_PARMOVS_24,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS24,PK_PARMOVS24,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS25,FK_PARMOVS_25,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS25,PK_PARMOVS25,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS26,FK_PARMOVS_26,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS26,PK_PARMOVS26,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS27,FK_PARMOVS_27,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS27,PK_PARMOVS27,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS28,FK_PARMOVS_28,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS28,PK_PARMOVS28,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS29,FK_PARMOVS_29,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS29,PK_PARMOVS29,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS30,FK_PARMOVS_30,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS30,PK_PARMOVS30,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS31,FK_PARMOVS_31,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS31,PK_PARMOVS31,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
PARMOVS32,FK_PARMOVS_32,,,,NUM_MOV,1,,NO,ACTIVO,ASC
PARMOVS32,PK_PARMOVS32,1.0,,,NUM_REGP,1,,SI,ACTIVO,ASC
UUIDTIMBRES,PK_UUIDTIMBRES,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES01,FK_UUIDPARMOVS_1,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES01,PK_UUIDTIMBRES01,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES02,FK_UUIDPARMOVS_2,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES02,PK_UUIDTIMBRES02,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES03,FK_UUIDPARMOVS_3,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES03,PK_UUIDTIMBRES03,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES04,FK_UUIDPARMOVS_4,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES04,PK_UUIDTIMBRES04,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES05,FK_UUIDPARMOVS_5,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES05,PK_UUIDTIMBRES05,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES06,FK_UUIDPARMOVS_6,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES06,PK_UUIDTIMBRES06,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES07,FK_UUIDPARMOVS_7,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES07,PK_UUIDTIMBRES07,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES08,FK_UUIDPARMOVS_8,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES08,PK_UUIDTIMBRES08,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES09,FK_UUIDPARMOVS_9,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES09,PK_UUIDTIMBRES09,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES10,FK_UUIDPARMOVS_10,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES10,PK_UUIDTIMBRES10,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES11,FK_UUIDPARMOVS_11,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES11,PK_UUIDTIMBRES11,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES12,FK_UUIDPARMOVS_12,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES12,PK_UUIDTIMBRES12,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES13,FK_UUIDPARMOVS_13,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES13,PK_UUIDTIMBRES13,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES14,FK_UUIDPARMOVS_14,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES14,PK_UUIDTIMBRES14,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES15,FK_UUIDPARMOVS_15,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES15,PK_UUIDTIMBRES15,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES16,FK_UUIDPARMOVS_16,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES16,PK_UUIDTIMBRES16,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES17,FK_UUIDPARMOVS_17,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES17,PK_UUIDTIMBRES17,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES18,FK_UUIDPARMOVS_18,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES18,PK_UUIDTIMBRES18,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES19,FK_UUIDPARMOVS_19,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES19,PK_UUIDTIMBRES19,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES20,FK_UUIDPARMOVS_20,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES20,PK_UUIDTIMBRES20,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES21,FK_UUIDPARMOVS_21,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES21,PK_UUIDTIMBRES21,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES22,FK_UUIDPARMOVS_22,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES22,PK_UUIDTIMBRES22,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES23,FK_UUIDPARMOVS_23,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES23,PK_UUIDTIMBRES23,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES24,FK_UUIDPARMOVS_24,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES24,PK_UUIDTIMBRES24,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES25,FK_UUIDPARMOVS_25,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES25,PK_UUIDTIMBRES25,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES26,FK_UUIDPARMOVS_26,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES26,PK_UUIDTIMBRES26,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES27,FK_UUIDPARMOVS_27,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES27,PK_UUIDTIMBRES27,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES28,FK_UUIDPARMOVS_28,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES28,PK_UUIDTIMBRES28,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES29,FK_UUIDPARMOVS_29,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES29,PK_UUIDTIMBRES29,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES30,FK_UUIDPARMOVS_30,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES30,PK_UUIDTIMBRES30,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES31,FK_UUIDPARMOVS_31,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES31,PK_UUIDTIMBRES31,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
UUIDTIMBRES32,FK_UUIDPARMOVS_32,,,,NUM_REGP,1,,NO,ACTIVO,ASC
UUIDTIMBRES32,PK_UUIDTIMBRES32,1.0,,,NUM_REGU,1,,SI,ACTIVO,ASC
