tabla,indice,unique_flag,inactive_flag,index_type,campo_indexado,posicion_en_indice,descripcion,unico,estado,orden
ACTIVOS05,PK_ACTIVOS05,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS06,PK_ACTIVOS06,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS07,PK_ACTIVOS07,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS08,PK_ACTIVOS08,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS09,PK_ACTIVOS09,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS10,PK_ACTIVOS10,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS11,PK_ACTIVOS11,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS12,PK_ACTIVOS12,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS13,PK_ACTIVOS13,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS14,PK_ACTIVOS14,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS15,PK_ACTIVOS15,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS16,PK_ACTIVOS16,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS17,PK_ACTIVOS17,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS18,PK_ACTIVOS18,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS19,PK_ACTIVOS19,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS20,PK_ACTIVOS20,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS21,PK_ACTIVOS21,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS22,PK_ACTIVOS22,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS23,PK_ACTIVOS23,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS24,PK_ACTIVOS24,1.0,0.0,0.0,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS25,PK_ACTIVOS25,1.0,,,CLAVE,1,,SI,ACTIVO,ASC
ACTIVOS26,PK_ACTIVOS26,1.0,,,CLAVE,1,,SI,ACTIVO,ASC
ADMPER,PK_ADMPER,1.0,0.0,0.0,PERIODO,1,,SI,ACTIVO,ASC
ADMPER,PK_ADMPER,1.0,0.0,0.0,EJERCICIO,2,,SI,ACTIVO,ASC
AUXILIAR05,IDX_SERIE105,0.0,0.0,1.0,NUM_CTA,1,,NO,ACTIVO,DESC
AUXILIAR05,PK_AUXILIAR05,1.0,0.0,0.0,TIPO_POLI,1,,SI,ACTIVO,ASC
AUXILIAR05,PK_AUXILIAR05,1.0,0.0,0.0,NUM_POLIZ,2,,SI,ACTIVO,ASC
AUXILIAR05,PK_AUXILIAR05,1.0,0.0,0.0,NUM_PART,3,,SI,ACTIVO,ASC
AUXILIAR05,PK_AUXILIAR05,1.0,0.0,0.0,PERIODO,4,,SI,ACTIVO,ASC
AUXILIAR05,PK_AUXILIAR05,1.0,0.0,0.0,EJERCICIO,5,,SI,ACTIVO,ASC
AUXILIAR06,IDX_SERIE106,0.0,0.0,1.0,NUM_CTA,1,,NO,ACTIVO,DESC
AUXILIAR06,PK_AUXILIAR06,1.0,0.0,0.0,TIPO_POLI,1,,SI,ACTIVO,ASC
AUXILIAR06,PK_AUXILIAR06,1.0,0.0,0.0,NUM_POLIZ,2,,SI,ACTIVO,ASC
AUXILIAR06,PK_AUXILIAR06,1.0,0.0,0.0,NUM_PART,3,,SI,ACTIVO,ASC
AUXILIAR06,PK_AUXILIAR06,1.0,0.0,0.0,PERIODO,4,,SI,ACTIVO,ASC
AUXILIAR06,PK_AUXILIAR06,1.0,0.0,0.0,EJERCICIO,5,,SI,ACTIVO,ASC
AUXILIAR07,IDX_SERIE107,0.0,0.0,1.0,NUM_CTA,1,,NO,ACTIVO,DESC
AUXILIAR07,PK_AUXILIAR07,1.0,0.0,0.0,TIPO_POLI,1,,SI,ACTIVO,ASC
AUXILIAR07,PK_AUXILIAR07,1.0,0.0,0.0,NUM_POLIZ,2,,SI,ACTIVO,ASC
AUXILIAR07,PK_AUXILIAR07,1.0,0.0,0.0,NUM_PART,3,,SI,ACTIVO,ASC
AUXILIAR07,PK_AUXILIAR07,1.0,0.0,0.0,PERIODO,4,,SI,ACTIVO,ASC
AUXILIAR07,PK_AUXILIAR07,1.0,0.0,0.0,EJERCICIO,5,,SI,ACTIVO,ASC
