tabla	campo	field_source	tipo_codigo	subtipo	field_precision	longitud_bytes	longitud	escala	charset_id	collation_id	es_nulo	default_source	computed_source	tiene_default_flag	es_computed_flag	posicion	descripcion	charset_name	collation_name	tipo_base	tipo_detalle	rol_sugerido	es_computed	tiene_default
ACTIVOS05	CLAVE	RDB$12885	37	0.0		16	16	0	21.0		NO			0	0	0	Clave	ISO8859_1		texto	VARCHAR(16)	otro	0	0
ACTIVOS05	TIPO	RDB$12886	7	0.0	0.0	2	2	0			SI			0	0	1	Tipo			numero	SMALLINT	otro	0	0
ACTIVOS05	DESCRIP	RDB$12887	37	0.0		30	30	0	21.0		NO			0	0	2	Descripcion	ISO8859_1		texto	VARCHAR(30)	descripcion	0	0
ACTIVOS05	LOCALIZ	RDB$12888	37	0.0		9	9	0	21.0		SI			0	0	3	Localozacion	ISO8859_1		texto	VARCHAR(9)	otro	0	0
ACTIVOS05	MONTORIG	RDB$12889	27	0.0		8	8	0			SI			0	0	4	Monto original			numero	DOUBLE	importe	0	0
ACTIVOS05	MONTORIGEX	RDB$12890	27	0.0		8	8	0			SI			0	0	5	Monto original extranjero			numero	DOUBLE	importe	0	0
ACTIVOS05	FECHAADQ	RDB$12891	35	0.0		8	8	0			SI			0	0	6	Fecha de adquisicion			timestamp	TIMESTAMP	fecha	0	0
ACTIVOS05	MAXDED	RDB$12892	27	0.0		8	8	0			SI			0	0	7	Maximo deducible			numero	DOUBLE	otro	0	0
ACTIVOS05	VALMER	RDB$12893	27	0.0		8	8	0			SI			0	0	8	Valor del mercado			numero	DOUBLE	otro	0	0
ACTIVOS05	DEPACU	RDB$12894	27	0.0		8	8	0			SI			0	0	9	Depreciacion acumulada			numero	DOUBLE	otro	0	0
ACTIVOS05	VIDAUT	RDB$12895	27	0.0		8	8	0			SI			0	0	10	Vida util			numero	DOUBLE	otro	0	0
ACTIVOS05	METDEP	RDB$12896	37	0.0		1	1	0	21.0		SI			0	0	11	Metodo de depreciacion	ISO8859_1		texto	VARCHAR(1)	otro	0	0
ACTIVOS05	TASDEP	RDB$12897	27	0.0		8	8	0			SI			0	0	12	Tasa de depreciacion			numero	DOUBLE	otro	0	0
ACTIVOS05	TASDEPFIS	RDB$12898	27	0.0		8	8	0			SI			0	0	13	Tasa de depreciacion fiscal			numero	DOUBLE	otro	0	0
ACTIVOS05	STATUS	RDB$12899	37	0.0		1	1	0	21.0		SI			0	0	14	Estatus	ISO8859_1		texto	VARCHAR(1)	estatus	0	0
ACTIVOS05	FECHAELIM	RDB$12900	35	0.0		8	8	0			SI			0	0	15	Fecha eliminacion			timestamp	TIMESTAMP	fecha	0	0
ACTIVOS05	NUMDEPTO	RDB$12901	7	0.0	0.0	2	2	0			SI			0	0	16	Numero de depto			numero	SMALLINT	otro	0	0
ACTIVOS05	FECHAULTRE	RDB$12902	35	0.0		8	8	0			SI			0	0	17	Fecha ultima revaluacion			timestamp	TIMESTAMP	fecha	0	0
ACTIVOS05	NUMSERIE	RDB$12903	37	0.0		24	24	0	21.0		SI			0	0	18	Numero de serie	ISO8859_1		texto	VARCHAR(24)	otro	0	0
ACTIVOS05	BANDEDINM	RDB$12904	37	0.0		1	1	0	21.0		SI			0	0	19	Deduccion inmediata	ISO8859_1		texto	VARCHAR(1)	otro	0	0
ACTIVOS05	FECINIDEP	RDB$12905	35	0.0		8	8	0			SI			0	0	20	Fecha inicio depreciacion			timestamp	TIMESTAMP	fecha	0	0
ACTIVOS05	FECINIDEPF	RDB$12906	35	0.0		8	8	0			SI			0	0	21	Fecha depreciacion fiscal			timestamp	TIMESTAMP	fecha	0	0
ACTIVOS05	DEPACUFISC	RDB$12907	27	0.0		8	8	0			SI			0	0	22	Depreciacion acumulada fiscal			numero	DOUBLE	otro	0	0
