tabla	constraint_name	constraint_type	index_name
ACTIVOS05	INTEG_1087	NOT NULL	
ACTIVOS05	INTEG_1088	NOT NULL	
ACTIVOS05	PK_ACTIVOS05	PRIMARY KEY	PK_ACTIVOS05
ACTIVOS06	INTEG_1109	NOT NULL	
ACTIVOS06	INTEG_1110	NOT NULL	
ACTIVOS06	PK_ACTIVOS06	PRIMARY KEY	PK_ACTIVOS06
ACTIVOS07	INTEG_1131	NOT NULL	
ACTIVOS07	INTEG_1132	NOT NULL	
ACTIVOS07	PK_ACTIVOS07	PRIMARY KEY	PK_ACTIVOS07
ACTIVOS08	INTEG_1153	NOT NULL	
ACTIVOS08	INTEG_1154	NOT NULL	
ACTIVOS08	PK_ACTIVOS08	PRIMARY KEY	PK_ACTIVOS08
ACTIVOS09	INTEG_1175	NOT NULL	
ACTIVOS09	INTEG_1176	NOT NULL	
ACTIVOS09	PK_ACTIVOS09	PRIMARY KEY	PK_ACTIVOS09
ACTIVOS10	INTEG_1197	NOT NULL	
ACTIVOS10	INTEG_1198	NOT NULL	
ACTIVOS10	PK_ACTIVOS10	PRIMARY KEY	PK_ACTIVOS10
ACTIVOS11	INTEG_1219	NOT NULL	
ACTIVOS11	INTEG_1220	NOT NULL	
ACTIVOS11	PK_ACTIVOS11	PRIMARY KEY	PK_ACTIVOS11
ACTIVOS12	INTEG_1241	NOT NULL	
ACTIVOS12	INTEG_1242	NOT NULL	
ACTIVOS12	PK_ACTIVOS12	PRIMARY KEY	PK_ACTIVOS12
ACTIVOS13	INTEG_1263	NOT NULL	
ACTIVOS13	INTEG_1264	NOT NULL	
ACTIVOS13	PK_ACTIVOS13	PRIMARY KEY	PK_ACTIVOS13
ACTIVOS14	INTEG_1285	NOT NULL	
ACTIVOS14	INTEG_1286	NOT NULL	
ACTIVOS14	PK_ACTIVOS14	PRIMARY KEY	PK_ACTIVOS14
ACTIVOS15	INTEG_1307	NOT NULL	
ACTIVOS15	INTEG_1308	NOT NULL	
ACTIVOS15	PK_ACTIVOS15	PRIMARY KEY	PK_ACTIVOS15
ACTIVOS16	INTEG_1329	NOT NULL	
ACTIVOS16	INTEG_1330	NOT NULL	
ACTIVOS16	PK_ACTIVOS16	PRIMARY KEY	PK_ACTIVOS16
ACTIVOS17	INTEG_1351	NOT NULL	
ACTIVOS17	INTEG_1352	NOT NULL	
ACTIVOS17	PK_ACTIVOS17	PRIMARY KEY	PK_ACTIVOS17
ACTIVOS18	INTEG_1373	NOT NULL	
ACTIVOS18	INTEG_1374	NOT NULL	
ACTIVOS18	PK_ACTIVOS18	PRIMARY KEY	PK_ACTIVOS18
ACTIVOS19	INTEG_1473	NOT NULL	
ACTIVOS19	INTEG_1474	NOT NULL	
