tabla,constraint_name,constraint_type,index_name
AC15012201,INTEG_444,NOT NULL,
AC15012201,INTEG_445,NOT NULL,
AC15012201,INTEG_446,NOT NULL,
AC15012201,PK_AC15012201,PRIMARY KEY,PK_AC15012201
AC15012301,INTEG_6760,NOT NULL,
AC15012301,INTEG_6761,NOT NULL,
AC15012301,INTEG_6762,NOT NULL,
AC15012301,PK_AC15012301,PRIMARY KEY,PK_AC15012301
AC15012401,INTEG_9282,NOT NULL,
AC15012401,INTEG_9283,NOT NULL,
AC15012401,INTEG_9284,NOT NULL,
AC15012401,PK_AC15012401,PRIMARY KEY,PK_AC15012401
AC15012501,INTEG_11610,NOT NULL,
AC15012501,INTEG_11611,NOT NULL,
AC15012501,INTEG_11612,NOT NULL,
AC15012501,PK_AC15012501,PRIMARY KEY,PK_AC15012501
AC15022201,INTEG_4529,NOT NULL,
AC15022201,INTEG_4530,NOT NULL,
AC15022201,INTEG_4531,NOT NULL,
AC15022201,PK_AC15022201,PRIMARY KEY,PK_AC15022201
AC15022301,INTEG_6954,NOT NULL,
AC15022301,INTEG_6955,NOT NULL,
AC15022301,INTEG_6956,NOT NULL,
AC15022301,PK_AC15022301,PRIMARY KEY,PK_AC15022301
AC15022401,INTEG_9476,NOT NULL,
AC15022401,INTEG_9477,NOT NULL,
AC15022401,INTEG_9478,NOT NULL,
AC15022401,PK_AC15022401,PRIMARY KEY,PK_AC15022401
AC15022501,INTEG_11804,NOT NULL,
AC15022501,INTEG_11805,NOT NULL,
AC15022501,INTEG_11806,NOT NULL,
AC15022501,PK_AC15022501,PRIMARY KEY,PK_AC15022501
AC15032201,INTEG_4723,NOT NULL,
AC15032201,INTEG_4724,NOT NULL,
AC15032201,INTEG_4725,NOT NULL,
AC15032201,PK_AC15032201,PRIMARY KEY,PK_AC15032201
AC15032301,INTEG_7148,NOT NULL,
AC15032301,INTEG_7149,NOT NULL,
AC15032301,INTEG_7150,NOT NULL,
AC15032301,PK_AC15032301,PRIMARY KEY,PK_AC15032301
AC15032401,INTEG_9670,NOT NULL,
AC15032401,INTEG_9671,NOT NULL,
AC15032401,INTEG_9672,NOT NULL,
AC15032401,PK_AC15032401,PRIMARY KEY,PK_AC15032401
AC15032501,INTEG_12009,NOT NULL,
AC15032501,INTEG_12010,NOT NULL,
AC15032501,INTEG_12011,NOT NULL,
AC15032501,PK_AC15032501,PRIMARY KEY,PK_AC15032501
AC15042201,INTEG_4917,NOT NULL,
AC15042201,INTEG_4918,NOT NULL,
AC15042201,INTEG_4919,NOT NULL,
AC15042201,PK_AC15042201,PRIMARY KEY,PK_AC15042201
AC15042301,INTEG_7342,NOT NULL,
AC15042301,INTEG_7343,NOT NULL,
AC15042301,INTEG_7344,NOT NULL,
AC15042301,PK_AC15042301,PRIMARY KEY,PK_AC15042301
AC15042401,INTEG_9864,NOT NULL,
AC15042401,INTEG_9865,NOT NULL,
AC15042401,INTEG_9866,NOT NULL,
AC15042401,PK_AC15042401,PRIMARY KEY,PK_AC15042401
AC15042501,INTEG_12091,NOT NULL,
AC15042501,INTEG_12092,NOT NULL,
AC15042501,INTEG_12093,NOT NULL,
AC15042501,PK_AC15042501,PRIMARY KEY,PK_AC15042501
AC15052201,INTEG_5111,NOT NULL,
AC15052201,INTEG_5112,NOT NULL,
AC15052201,INTEG_5113,NOT NULL,
AC15052201,PK_AC15052201,PRIMARY KEY,PK_AC15052201
AC15052301,INTEG_7536,NOT NULL,
AC15052301,INTEG_7537,NOT NULL,
AC15052301,INTEG_7538,NOT NULL,
AC15052301,PK_AC15052301,PRIMARY KEY,PK_AC15052301
AC15052401,INTEG_10058,NOT NULL,
AC15052401,INTEG_10059,NOT NULL,
AC15052401,INTEG_10060,NOT NULL,
AC15052401,PK_AC15052401,PRIMARY KEY,PK_AC15052401
AC15052501,INTEG_12183,NOT NULL,
AC15052501,INTEG_12184,NOT NULL,
AC15052501,INTEG_12185,NOT NULL,
AC15052501,PK_AC15052501,PRIMARY KEY,PK_AC15052501
AC15062201,INTEG_5305,NOT NULL,
AC15062201,INTEG_5306,NOT NULL,
AC15062201,INTEG_5307,NOT NULL,
AC15062201,PK_AC15062201,PRIMARY KEY,PK_AC15062201
AC15062301,INTEG_7730,NOT NULL,
AC15062301,INTEG_7731,NOT NULL,
AC15062301,INTEG_7732,NOT NULL,
AC15062301,PK_AC15062301,PRIMARY KEY,PK_AC15062301
AC15062401,INTEG_10252,NOT NULL,
AC15062401,INTEG_10253,NOT NULL,
AC15062401,INTEG_10254,NOT NULL,
AC15062401,PK_AC15062401,PRIMARY KEY,PK_AC15062401
