tabla,indice,unique_flag,inactive_flag,index_type,campo_indexado,posicion_en_indice,descripcion,unico,estado,orden
AC15012201,PK_AC15012201,1.0,0.0,0.0,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15012201,PK_AC15012201,1.0,0.0,0.0,PER_O_DED,2,,SI,ACTIVO,ASC
AC15012201,PK_AC15012201,1.0,0.0,0.0,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15012301,PK_AC15012301,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15012301,PK_AC15012301,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15012301,PK_AC15012301,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15012401,PK_AC15012401,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15012401,PK_AC15012401,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15012401,PK_AC15012401,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15012501,PK_AC15012501,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15012501,PK_AC15012501,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15012501,PK_AC15012501,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15022201,PK_AC15022201,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15022201,PK_AC15022201,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15022201,PK_AC15022201,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15022301,PK_AC15022301,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15022301,PK_AC15022301,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15022301,PK_AC15022301,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15022401,PK_AC15022401,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15022401,PK_AC15022401,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15022401,PK_AC15022401,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15022501,PK_AC15022501,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15022501,PK_AC15022501,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15022501,PK_AC15022501,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15032201,PK_AC15032201,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15032201,PK_AC15032201,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15032201,PK_AC15032201,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15032301,PK_AC15032301,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15032301,PK_AC15032301,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15032301,PK_AC15032301,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15032401,PK_AC15032401,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15032401,PK_AC15032401,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15032401,PK_AC15032401,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15032501,PK_AC15032501,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15032501,PK_AC15032501,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15032501,PK_AC15032501,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15042201,PK_AC15042201,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15042201,PK_AC15042201,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15042201,PK_AC15042201,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15042301,PK_AC15042301,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15042301,PK_AC15042301,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15042301,PK_AC15042301,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15042401,PK_AC15042401,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15042401,PK_AC15042401,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15042401,PK_AC15042401,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15042501,PK_AC15042501,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15042501,PK_AC15042501,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15042501,PK_AC15042501,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15052201,PK_AC15052201,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15052201,PK_AC15052201,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15052201,PK_AC15052201,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
AC15052301,PK_AC15052301,1.0,,,CLAVE_TRAB,1,,SI,ACTIVO,ASC
AC15052301,PK_AC15052301,1.0,,,PER_O_DED,2,,SI,ACTIVO,ASC
AC15052301,PK_AC15052301,1.0,,,NUM_PERDED,3,,SI,ACTIVO,ASC
