tabla,es_vista,descripcion
AC15012201,0,
AC15012301,0,
AC15012401,0,
AC15012501,0,
AC15022201,0,
AC15022301,0,
AC15022401,0,
AC15022501,0,
AC15032201,0,
AC15032301,0,
AC15032401,0,
AC15032501,0,
AC15042201,0,
AC15042301,0,
AC15042401,0,
AC15042501,0,
AC15052201,0,
AC15052301,0,
AC15052401,0,
AC15052501,0,
AC15062201,0,
AC15062301,0,
AC15062401,0,
AC15062501,0,
AC15072201,0,
AC15072301,0,
AC15072401,0,
AC15072501,0,
AC15082201,0,
AC15082301,0,
AC15082401,0,
AC15082501,0,
AC15092201,0,
AC15092301,0,
AC15092401,0,
AC15102201,0,
AC15102301,0,
AC15102401,0,
AC15112101,0,
AC15112201,0,
AC15112301,0,
AC15112401,0,
AC15122101,0,
AC15122201,0,
AC15122301,0,
AC15122401,0,
AC16122301,0,
AC18122301,0,
AC20122101,0,
AC20122201,0,
AC20122301,0,
AC28022201,0,
AC28022301,0,
AC28022501,0,
AC29022401,0,
AC30042201,0,
AC30042301,0,
AC30042401,0,
AC30042501,0,
AC30062201,0,
AC30062301,0,
AC30062401,0,
AC30062501,0,
AC30072201,0,
AC30092201,0,
AC30092301,0,
AC30092401,0,
AC30112101,0,
AC30112201,0,
AC30112301,0,
AC30112401,0,
AC31012201,0,
AC31012301,0,
AC31012401,0,
AC31012501,0,
AC31032201,0,
AC31032301,0,
AC31032401,0,
AC31032501,0,
AC31052201,0,
AC31052301,0,
AC31052401,0,
AC31052501,0,
AC31072201,0,
AC31072301,0,
AC31072401,0,
AC31072501,0,
AC31082201,0,
AC31082301,0,
AC31082401,0,
AC31082501,0,
AC31102201,0,
AC31102301,0,
AC31102401,0,
AC31122101,0,
AC31122201,0,
AC31122301,0,
AC31122401,0,
CA15012201,0,
CA15012201CY,0,
CA15012301,0,
CA15012301CY,0,
CA15012401,0,
CA15012401CY,0,
CA15012501,0,
CA15012501CY,0,
CA15022201,0,
CA15022201CY,0,
CA15022301,0,
CA15022301CY,0,
CA15022401,0,
CA15022401CY,0,
CA15022501,0,
CA15022501CY,0,
CA15032201,0,
CA15032201CY,0,
CA15032301,0,
CA15032301CY,0,
CA15032401,0,
CA15032401CY,0,
CA15032501,0,
CA15032501CY,0,
CA15042201,0,
CA15042201CY,0,
CA15042301,0,
CA15042301CY,0,
CA15042401,0,
CA15042401CY,0,
CA15042501,0,
CA15042501CY,0,
CA15052201,0,
CA15052201CY,0,
CA15052301,0,
CA15052301CY,0,
CA15052401,0,
CA15052401CY,0,
CA15052501,0,
CA15052501CY,0,
CA15062201,0,
CA15062201CY,0,
CA15062301,0,
CA15062301CY,0,
CA15062401,0,
CA15062401CY,0,
CA15062501,0,
CA15062501CY,0,
CA15072201,0,
CA15072201CY,0,
CA15072301,0,
CA15072301CY,0,
CA15072401,0,
CA15072401CY,0,
CA15072501,0,
CA15072501CY,0,
CA15082201,0,
CA15082201CY,0,
CA15082301,0,
CA15082301CY,0,
CA15082401,0,
CA15082401CY,0,
CA15082501,0,
CA15082501CY,0,
CA15092201,0,
CA15092201CY,0,
CA15092301,0,
CA15092301CY,0,
CA15092401,0,
CA15092401CY,0,
CA15102201,0,
CA15102201CY,0,
CA15102301,0,
CA15102301CY,0,
CA15102401,0,
CA15102401CY,0,
CA15112101,0,
CA15112101CY,0,
CA15112201,0,
CA15112201CY,0,
CA15112301,0,
CA15112301CY,0,
CA15112401,0,
CA15112401CY,0,
CA15122101,0,
CA15122101CY,0,
CA15122201,0,
CA15122201CY,0,
CA15122301,0,
CA15122301CY,0,
CA15122401,0,
CA15122401CY,0,
CA16122301,0,
CA16122301CY,0,
CA18122301,0,
CA18122301CY,0,
CA20122101,0,
CA20122101CY,0,
CA20122201,0,
CA20122201CY,0,
CA20122301,0,
CA20122301CY,0,
CA28022201,0,
CA28022201CY,0,
CA28022301,0,
CA28022301CY,0,
CA28022501,0,
CA28022501CY,0,
CA29022401,0,
CA29022401CY,0,
CA30042201,0,
CA30042201CY,0,
CA30042301,0,
CA30042301CY,0,
CA30042401,0,
CA30042401CY,0,
CA30042501,0,
CA30042501CY,0,
CA30062201,0,
CA30062201CY,0,
CA30062301,0,
CA30062301CY,0,
CA30062401,0,
CA30062401CY,0,
CA30062501,0,
CA30062501CY,0,
CA30072201,0,
CA30072201CY,0,
CA30092201,0,
CA30092201CY,0,
CA30092301,0,
CA30092301CY,0,
CA30092401,0,
CA30092401CY,0,
CA30112101,0,
CA30112101CY,0,
CA30112201,0,
CA30112201CY,0,
CA30112301,0,
CA30112301CY,0,
CA30112401,0,
CA30112401CY,0,
CA31012201,0,
CA31012201CY,0,
CA31012301,0,
CA31012301CY,0,
CA31012401,0,
CA31012401CY,0,
CA31012501,0,
CA31012501CY,0,
CA31032201,0,
CA31032201CY,0,
CA31032301,0,
CA31032301CY,0,
CA31032401,0,
CA31032401CY,0,
CA31032501,0,
CA31032501CY,0,
CA31052201,0,
CA31052201CY,0,
CA31052301,0,
CA31052301CY,0,
CA31052401,0,
CA31052401CY,0,
CA31052501,0,
CA31052501CY,0,
CA31072201,0,
CA31072201CY,0,
CA31072301,0,
CA31072301CY,0,
CA31072401,0,
CA31072401CY,0,
CA31072501,0,
CA31072501CY,0,
CA31082201,0,
CA31082201CY,0,
CA31082301,0,
CA31082301CY,0,
