tabla,indice,unique_flag,inactive_flag,index_type,campo_indexado,posicion_en_indice,descripcion,unico,estado,orden
ACOMP01,PK_ACOMP01,1.0,,,CVE_ACOMP,1,,SI,ACTIVO,ASC
ACTCAM01,PK_ACTCAM01,1.0,,,CVE_CAMPANIA,1,,SI,ACTIVO,ASC
ACTCAM01,PK_ACTCAM01,1.0,,,CVE_ACTIVIDAD,2,,SI,ACTIVO,ASC
ACTIVI01,PK_ACTIVI01,1.0,,,CVE_ACTIVIDAD,1,,SI,ACTIVO,ASC
AFACT01,PK_AFACT01,1.0,,,CVE_AFACT,1,,SI,ACTIVO,ASC
ALERTA01,PK_ALERTA01,1.0,,,CVE_ALERTA,1,,SI,ACTIVO,ASC
ALERTA_USUARIO01,IDX_ALERTA_USUARIO01,1.0,,1.0,CVE_ALERTA,1,,SI,ACTIVO,DESC
ALERTA_USUARIO01,IDX_ALERTA_USUARIO01,1.0,,1.0,ID_USUARIO,2,,SI,ACTIVO,DESC
ALMACENES01,PK_ALMACENES01,1.0,,,CVE_ALM,1,,SI,ACTIVO,ASC
AUTORIZAC01,PK_AUTORIZAC01,1.0,,,CVE_AUT,1,,SI,ACTIVO,ASC
AUTORIZAP01,PK_AUTORIZAP01,1.0,,,CVE_AUT,1,,SI,ACTIVO,ASC
BITA01,PK_BITA01,1.0,,,CVE_BITA,1,,SI,ACTIVO,ASC
CAMP01,PK_CAMP01,1.0,,,CVE_CAMPANIA,1,,SI,ACTIVO,ASC
CAPAS_X_MOV01,PK_CAPAS_X_MOV01,1.0,,,CVE_ART,1,,SI,ACTIVO,ASC
CAPAS_X_MOV01,PK_CAPAS_X_MOV01,1.0,,,NUM_MOV,2,,SI,ACTIVO,ASC
CAPAS_X_MOV01,PK_CAPAS_X_MOV01,1.0,,,NUM_MOV_AFT,3,,SI,ACTIVO,ASC
CARTAPORTE01,PK_CARTAPORTE01,1.0,,,CLAVE_DOC,1,,SI,ACTIVO,ASC
CARTAPORTE01,PK_CARTAPORTE01,1.0,,,TIPO_DOC,2,,SI,ACTIVO,ASC
CFDI01,IDX_CFDI_CVE_DOC01,,,1.0,CVE_DOC,1,,NO,ACTIVO,DESC
CFDI01,IDX_CFDI_PAGOS01,,,,CVE_DOC,1,,NO,ACTIVO,ASC
