tabla,es_vista,descripcion
ACOMP01,0,
ACTCAM01,0,
ACTIVI01,0,
AFACT01,0,
ALERTA01,0,
ALERTA_USUARIO01,0,
ALMACENES01,0,
AUTORIZAC01,0,
AUTORIZAP01,0,
BITA01,0,
CAMP01,0,
CAMPFIL01,0,
CAPAS_X_MOV01,0,
CARTAPORTE01,0,
CFDI01,0,
CFDIC01,0,
CFDI_REL01,0,
CFGLIN01,0,
CITAS01,0,
CLICAM01,0,
CLIE01,0,
CLIE_CLIB01,0,
CLIE_TIENDA01,0,
CLIN01,0,
CNSEST01,0,
COLOR01,0,
COMPACTACION01,0,
COMPC01,0,
COMPC_CLIB01,0,
COMPD01,0,
COMPD_CLIB01,0,
COMPO01,0,
COMPO_CLIB01,0,
COMPQ01,0,
COMPQ_CLIB01,0,
COMPR01,0,
COMPR_CLIB01,0,
COM_EXTERIOR01,0,
CONC01,0,
CONFIG_ENVIOS01,0,
CONM01,0,
CONP01,0,
CONS_PER01,0,
CONTAC01,0,
CONTAP01,0,
CTAESQ01,0,
CTRLBLOQUEO01,0,
CTRL_ELIMINA01,0,
CUENTA_BENEF01,0,
CUENTA_ORD01,0,
CUEN_DET01,0,
CUEN_M01,0,
CVES_ALTER01,0,
DESACT01,0,
DOCTOSIGC01,0,
DOCTOSIGF01,0,
DOCTOSIGFC01,0,
ENLACEFC01,0,
ENLACE_LTPD01,0,
FACTA01,0,
FACTA_CLIB01,0,
FACTC01,0,
FACTC_CLIB01,0,
FACTD01,0,
FACTD_CLIB01,0,
FACTE01,0,
FACTE_CLIB01,0,
FACTF01,0,
FACTF_CLIB01,0,
FACTG01,0,
FACTG_CLIB01,0,
FACTP01,0,
FACTP_CLIB01,0,
FACTR01,0,
FACTR_CLIB01,0,
FACTT01,0,
FACTT_CLIB01,0,
FACTV01,0,
FACTV_CLIB01,0,
FACT_GLOBAL01,0,
FOLCXC01,0,
FOLCXP01,0,
FOLIOSC01,0,
FOLIOSCXC01,0,
FOLIOSCXP01,0,
FOLIOSF01,0,
FOTO_INVE01,0,
GUICAM01,0,
HNUMSER01,0,
IMG_ARTICULO01,0,
IMPU01,0,
INFCLI01,0,
INFENVIO01,0,
INTCOI01,0,
INVE01,0,
INVEN_CLARO01,0,
INVE_AMAZON01,0,
INVE_CLIB01,0,
INVE_MELI01,0,
INVFIS01,0,
KITS01,0,
LISTPRODSUST01,0,
LNKOLKC01,0,
LNKOLKP01,0,
LTPD01,0,
MINVE01,0,
MONED01,0,
MULT01,0,
NUMSER01,0,
OBS_DOCC01,0,
OBS_DOCF01,0,
OCLI01,0,
OCUEN01,0,
OINVE01,0,
OLTPD01,0,
OMINVE01,0,
OPAGA01,0,
OPERADOR01,0,
OPER_TERCEROS01,0,
OPER_X_TIPO_TERCERO01,0,
OPROV01,0,
PAGA_DET01,0,
PAGA_M01,0,
PAGOCODI01,0,
PAGOLINEA01,0,
PAGOS_PED_TIENDA01,0,
PAIS01,0,
PARAM_APLICASOC01,0,
PARAM_CAMPOSLIBRES01,0,
PARAM_CLIENTES01,0,
PARAM_CODI01,0,
PARAM_COMPRAS01,0,
PARAM_CTACONTABLE01,0,
PARAM_DATOSBANCARIOS01,0,
PARAM_DATOSBD01,0,
PARAM_DATOSEMP01,0,
PARAM_DATOSGRALES01,0,
PARAM_DOMEXPED01,0,
PARAM_DOMFISCAL01,0,
PARAM_FACTURA01,0,
PARAM_FACTURAELECTRONICA01,0,
PARAM_FOLIOSC01,0,
PARAM_FOLIOSF01,0,
PARAM_GRAFICAS01,0,
PARAM_INVENTARIO01,0,
PARAM_PARTIDASCOMP01,0,
PARAM_PARTIDASFACT01,0,
PARAM_PROVEEDORES01,0,
PARAM_TIENDAS01,0,
PARAM_TIPODOCTOSC01,0,
PARAM_TIPODOCTOSF01,0,
PAR_COMPC01,0,
PAR_COMPC_CLIB01,0,
PAR_COMPD01,0,
PAR_COMPD_CLIB01,0,
PAR_COMPO01,0,
PAR_COMPO_CLIB01,0,
PAR_COMPQ01,0,
PAR_COMPQ_CLIB01,0,
PAR_COMPR01,0,
PAR_COMPR_CLIB01,0,
PAR_FACTA01,0,
PAR_FACTA_CLIB01,0,
PAR_FACTC01,0,
PAR_FACTC_CLIB01,0,
PAR_FACTD01,0,
PAR_FACTD_CLIB01,0,
PAR_FACTE01,0,
PAR_FACTE_CLIB01,0,
PAR_FACTF01,0,
PAR_FACTF_CLIB01,0,
PAR_FACTG01,0,
PAR_FACTG_CLIB01,0,
PAR_FACTP01,0,
PAR_FACTP_CLIB01,0,
PAR_FACTR01,0,
PAR_FACTR_CLIB01,0,
PAR_FACTT01,0,
PAR_FACTT_CLIB01,0,
PAR_FACTV01,0,
PAR_FACTV_CLIB01,0,
PAR_PED_AMAZON01,0,
PAR_PED_CLARO01,0,
PAR_PED_TIEND01,0,
PED_AMAZON01,0,
PED_CLARO01,0,
PED_TIEND01,0,
PERIODOS01,0,
POLI01,0,
PRECIOS01,0,
PRECIO_X_PROD01,0,
PRODSUST01,0,
PROD_X_CONC01,0,
PROV01,0,
PROV_CLIB01,0,
PRVPROD01,0,
RESACT01,0,
RESULT01,0,
TALLA01,0,
TBLCONTROL01,0,
TIPO_TERCEROS01,0,
VEND01,0,
ZONA01,0,
