tabla	campo	field_source	tipo_codigo	subtipo	field_precision	longitud_bytes	longitud	escala	charset_id	collation_id	es_nulo	default_source	computed_source	tiene_default_flag	es_computed_flag	posicion	descripcion	charset_name	collation_name	tipo_base	tipo_detalle	rol_sugerido	es_computed	tiene_default
ACOMP01	CVE_ACOMP	RDB$2079	8	0.0	0.0	4	4	0			NO			0	0	0	Clave de acumulado de compras			numero	INTEGER	clave	0	0
ACOMP01	CVTA_COM	RDB$2080	27			8	8	0			SI			0	0	1	Acumulados de compras			numero	DOUBLE	otro	0	0
ACOMP01	CDESCTO	RDB$2081	27			8	8	0			SI			0	0	2	Acumulados de descuentos de compras			numero	DOUBLE	otro	0	0
ACOMP01	CDES_FIN	RDB$2082	27			8	8	0			SI			0	0	3	Acumulados descuentos financieros de compras			numero	DOUBLE	otro	0	0
ACOMP01	CIMP	RDB$2083	27			8	8	0			SI			0	0	4	Acumulados impuestos de compras			numero	DOUBLE	otro	0	0
ACOMP01	CTOT_IND	RDB$2084	27			8	8	0			SI			0	0	5	Total de indirectos de compras			numero	DOUBLE	otro	0	0
ACOMP01	RVTA_COM	RDB$2085	27			8	8	0			SI			0	0	6	Acumulado de recepciones			numero	DOUBLE	otro	0	0
ACOMP01	RDESCTO	RDB$2086	27			8	8	0			SI			0	0	7	Acumulados de descuentos.de recepciones			numero	DOUBLE	otro	0	0
ACOMP01	RDES_FIN	RDB$2087	27			8	8	0			SI			0	0	8	Acumulados descuentos financieros de recepciones			numero	DOUBLE	otro	0	0
ACOMP01	RIMP	RDB$2088	27			8	8	0			SI			0	0	9	Acumulados de impuestos de recepciones			numero	DOUBLE	otro	0	0
ACOMP01	RTOT_IND	RDB$2089	27			8	8	0			SI			0	0	10	Total de indirectos de requisiciones			numero	DOUBLE	otro	0	0
ACOMP01	OVTA_COM	RDB$2090	27			8	8	0			SI			0	0	11	Acumulados de órdenes			numero	DOUBLE	otro	0	0
ACOMP01	ODESCTO	RDB$2091	27			8	8	0			SI			0	0	12	Acumulados de descuentos de órdenes			numero	DOUBLE	otro	0	0
ACOMP01	ODES_FIN	RDB$2092	27			8	8	0			SI			0	0	13	Acumulados de descuentos financieros de órdenes			numero	DOUBLE	otro	0	0
ACOMP01	OIMP	RDB$2093	27			8	8	0			SI			0	0	14	Acumulados de impuestos de órdenes			numero	DOUBLE	otro	0	0
ACOMP01	QVTA_COM	RDB$2094	27			8	8	0			SI			0	0	15	Acumulados de requisiciones			numero	DOUBLE	otro	0	0
ACOMP01	QDESCTO	RDB$2095	27			8	8	0			SI			0	0	16	Acumulados de descuentos de requisiciones			numero	DOUBLE	otro	0	0
ACOMP01	QDES_FIN	RDB$2096	27			8	8	0			SI			0	0	17	Acumulados descuentos financieros de requisiciones			numero	DOUBLE	otro	0	0
ACOMP01	QIMP	RDB$2097	27			8	8	0			SI			0	0	18	Acumulados impuestos de requisiciones			numero	DOUBLE	otro	0	0
ACOMP01	DVTA_COM	RDB$2098	27			8	8	0			SI			0	0	19	Acumulados de devoluciones			numero	DOUBLE	otro	0	0
ACOMP01	DDESCTO	RDB$2099	27			8	8	0			SI			0	0	20	Acumulados de descuentos de devoluciones			numero	DOUBLE	otro	0	0
ACOMP01	DDES_FIN	RDB$2100	27			8	8	0			SI			0	0	21	Acumulados descuentos financieros de devoluciones			numero	DOUBLE	otro	0	0
ACOMP01	DIMP	RDB$2101	27			8	8	0			SI			0	0	22	Acumulados impuestos de devoluciones			numero	DOUBLE	otro	0	0
ACOMP01	DTOT_IND	RDB$2102	27			8	8	0			SI			0	0	23	Total de indirectos de devoluciones			numero	DOUBLE	fecha	0	0
ACOMP01	PER_ACUM	RDB$2103	35			8	8	0			SI			0	0	24	Fecha realización de acumulado			timestamp	TIMESTAMP	otro	0	0
ACTCAM01	CVE_CAMPANIA	RDB$75	37	0.0		5	5	0	21.0		NO			0	0	0	Clave de campaña	ISO8859_1		texto	VARCHAR(5)	clave	0	0
ACTCAM01	CVE_ACTIVIDAD	RDB$76	37	0.0		5	5	0	21.0		NO			0	0	1	Clave de actividad	ISO8859_1		texto	VARCHAR(5)	clave	0	0
