tabla	constraint_name	constraint_type	index_name
ACOMP01	INTEG_165	NOT NULL	
ACOMP01	PK_ACOMP01	PRIMARY KEY	PK_ACOMP01
ACTCAM01	INTEG_5	NOT NULL	
ACTCAM01	INTEG_6	NOT NULL	
ACTCAM01	PK_ACTCAM01	PRIMARY KEY	PK_ACTCAM01
ACTIVI01	INTEG_1	NOT NULL	
ACTIVI01	PK_ACTIVI01	PRIMARY KEY	PK_ACTIVI01
AFACT01	INTEG_164	NOT NULL	
AFACT01	PK_AFACT01	PRIMARY KEY	PK_AFACT01
ALERTA01	INTEG_304	NOT NULL	
ALERTA01	INTEG_305	NOT NULL	
ALERTA01	PK_ALERTA01	PRIMARY KEY	PK_ALERTA01
ALERTA_USUARIO01	INTEG_306	NOT NULL	
ALERTA_USUARIO01	INTEG_307	NOT NULL	
ALERTA_USUARIO01	INTEG_308	NOT NULL	
ALMACENES01	INTEG_26	NOT NULL	
ALMACENES01	PK_ALMACENES01	PRIMARY KEY	PK_ALMACENES01
AUTORIZAC01	INTEG_182	NOT NULL	
AUTORIZAC01	PK_AUTORIZAC01	PRIMARY KEY	PK_AUTORIZAC01
AUTORIZAP01	INTEG_183	NOT NULL	
AUTORIZAP01	PK_AUTORIZAP01	PRIMARY KEY	PK_AUTORIZAP01
BITA01	INTEG_67	NOT NULL	
BITA01	PK_BITA01	PRIMARY KEY	PK_BITA01
CAMP01	INTEG_2	NOT NULL	
CAMP01	PK_CAMP01	PRIMARY KEY	PK_CAMP01
CAMPFIL01	INTEG_3	NOT NULL	
CAPAS_X_MOV01	INTEG_52	NOT NULL	
CAPAS_X_MOV01	INTEG_53	NOT NULL	
CAPAS_X_MOV01	INTEG_54	NOT NULL	
CAPAS_X_MOV01	PK_CAPAS_X_MOV01	PRIMARY KEY	PK_CAPAS_X_MOV01
CARTAPORTE01	INTEG_348	NOT NULL	
CARTAPORTE01	INTEG_349	NOT NULL	
CARTAPORTE01	PK_CARTAPORTE01	PRIMARY KEY	PK_CARTAPORTE01
CFDI01	INTEG_219	NOT NULL	
CFDI01	INTEG_220	NOT NULL	
CFDI01	PK_CFDI01	PRIMARY KEY	PK_CFDI01
CFDIC01	INTEG_272	NOT NULL	
CFDIC01	INTEG_273	NOT NULL	
CFDIC01	INTEG_274	NOT NULL	
CFDIC01	PK_CFDIC01	PRIMARY KEY	PK_CFDIC01
CFDI_REL01	INTEG_293	NOT NULL	
CFDI_REL01	INTEG_294	NOT NULL	
CFGLIN01	INTEG_17	NOT NULL	
CFGLIN01	PK_CFGLIN01	PRIMARY KEY	PK_CFGLIN01
CITAS01	INTEG_64	NOT NULL	
CLICAM01	INTEG_65	NOT NULL	
CLICAM01	INTEG_66	NOT NULL	
CLICAM01	PK_CLICAM01	PRIMARY KEY	PK_CLICAM01
CLIE01	INTEG_59	NOT NULL	
CLIE01	INTEG_60	NOT NULL	
CLIE01	PK_CLIE01	PRIMARY KEY	PK_CLIE01
CLIE_CLIB01	INTEG_61	NOT NULL	
CLIE_CLIB01	PK_CLIE_CLIB01	PRIMARY KEY	PK_CLIE_CLIB01
CLIE_TIENDA01	INTEG_328	NOT NULL	
CLIE_TIENDA01	INTEG_329	NOT NULL	
CLIE_TIENDA01	INTEG_330	NOT NULL	
CLIE_TIENDA01	PK_CLIE_TIENDA01	PRIMARY KEY	PK_CLIE_TIENDA01
CLIN01	INTEG_16	NOT NULL	
CLIN01	PK_CLIN01	PRIMARY KEY	PK_CLIN01
CNSEST01	INTEG_178	NOT NULL	
CNSEST01	PK_CNSEST01	PRIMARY KEY	PK_CNSEST01
COLOR01	INTEG_20	NOT NULL	
COLOR01	INTEG_21	NOT NULL	
COLOR01	PK_COLOR01	PRIMARY KEY	PK_COLOR01
COMPACTACION01	INTEG_275	NOT NULL	
COMPC01	INTEG_90	NOT NULL	
COMPC01	INTEG_91	NOT NULL	
COMPC01	INTEG_92	NOT NULL	
COMPC01	INTEG_93	NOT NULL	
COMPC01	PK_COMPC01	PRIMARY KEY	PK_COMPC01
COMPC_CLIB01	INTEG_201	NOT NULL	
COMPC_CLIB01	PK_COMPC_CLIB01	PRIMARY KEY	PK_COMPC_CLIB01
COMPD01	INTEG_96	NOT NULL	
COMPD01	INTEG_97	NOT NULL	
COMPD01	INTEG_98	NOT NULL	
COMPD01	PK_COMPD01	PRIMARY KEY	PK_COMPD01
COMPD_CLIB01	INTEG_207	NOT NULL	
COMPD_CLIB01	PK_COMPD_CLIB01	PRIMARY KEY	PK_COMPD_CLIB01
COMPO01	INTEG_79	NOT NULL	
COMPO01	INTEG_80	NOT NULL	
COMPO01	INTEG_81	NOT NULL	
COMPO01	PK_COMPO01	PRIMARY KEY	PK_COMPO01
COMPO_CLIB01	INTEG_204	NOT NULL	
COMPO_CLIB01	PK_COMPO_CLIB01	PRIMARY KEY	PK_COMPO_CLIB01
COMPQ01	INTEG_101	NOT NULL	
COMPQ01	INTEG_102	NOT NULL	
COMPQ01	INTEG_103	NOT NULL	
COMPQ01	PK_COMPQ01	PRIMARY KEY	PK_COMPQ01
COMPQ_CLIB01	INTEG_210	NOT NULL	
COMPQ_CLIB01	PK_COMPQ_CLIB01	PRIMARY KEY	PK_COMPQ_CLIB01
COMPR01	INTEG_84	NOT NULL	
COMPR01	INTEG_85	NOT NULL	
COMPR01	INTEG_86	NOT NULL	
COMPR01	INTEG_87	NOT NULL	
COMPR01	PK_COMPR01	PRIMARY KEY	PK_COMPR01
COMPR_CLIB01	INTEG_213	NOT NULL	
COMPR_CLIB01	PK_COMPR_CLIB01	PRIMARY KEY	PK_COMPR_CLIB01
COM_EXTERIOR01	INTEG_361	NOT NULL	
COM_EXTERIOR01	INTEG_362	NOT NULL	
COM_EXTERIOR01	PK_COM_EXTERIOR01	PRIMARY KEY	PK_COM_EXTERIOR01
CONC01	INTEG_56	NOT NULL	
CONC01	PK_CONC01	PRIMARY KEY	PK_CONC01
CONFIG_ENVIOS01	INTEG_321	NOT NULL	
CONFIG_ENVIOS01	INTEG_322	NOT NULL	
CONFIG_ENVIOS01	INTEG_323	NOT NULL	
CONFIG_ENVIOS01	INTEG_324	NOT NULL	
CONFIG_ENVIOS01	PK_CONFIG_ENVIOS01	PRIMARY KEY	PK_CONFIG_ENVIOS01
CONM01	INTEG_45	NOT NULL	
CONM01	PK_CONM01	PRIMARY KEY	PK_CONM01
CONP01	INTEG_57	NOT NULL	
CONP01	PK_CONP01	PRIMARY KEY	PK_CONP01
CONS_PER01	INTEG_216	NOT NULL	
CONS_PER01	PK_CONS_PER01	PRIMARY KEY	PK_CONS_PER01
CONTAC01	INTEG_62	NOT NULL	
CONTAC01	INTEG_63	NOT NULL	
CONTAC01	PK_CONTAC01	PRIMARY KEY	PK_CONTAC01
CONTAP01	INTEG_72	NOT NULL	
CONTAP01	INTEG_73	NOT NULL	
CONTAP01	PK_CONTAP01	PRIMARY KEY	PK_CONTAP01
CTAESQ01	INTEG_22	NOT NULL	
CTAESQ01	INTEG_23	NOT NULL	
CTAESQ01	PK_CTAESQ01	PRIMARY KEY	PK_CTAESQ01
CTRLBLOQUEO01	INTEG_217	NOT NULL	
CTRLBLOQUEO01	INTEG_218	NOT NULL	
CTRL_ELIMINA01	INTEG_276	NOT NULL	
CTRL_ELIMINA01	INTEG_277	NOT NULL	
CTRL_ELIMINA01	INTEG_278	NOT NULL	
CTRL_ELIMINA01	INTEG_279	NOT NULL	
CUEN_DET01	INTEG_150	NOT NULL	
CUEN_DET01	INTEG_151	NOT NULL	
CUEN_DET01	INTEG_152	NOT NULL	
CUEN_DET01	INTEG_153	NOT NULL	
CUEN_DET01	INTEG_154	NOT NULL	
CUEN_M01	INTEG_146	NOT NULL	
CUEN_M01	INTEG_147	NOT NULL	
CUEN_M01	INTEG_148	NOT NULL	
CUEN_M01	INTEG_149	NOT NULL	
CUEN_M01	PK_CUEN_M01	PRIMARY KEY	PK_CUEN_M01
CVES_ALTER01	INTEG_29	NOT NULL	
CVES_ALTER01	INTEG_30	NOT NULL	
CVES_ALTER01	PK_CVES_ALTER01	PRIMARY KEY	PK_CVES_ALTER01
DESACT01	INTEG_11	NOT NULL	
DESACT01	INTEG_12	NOT NULL	
DESACT01	PK_DESACT01	PRIMARY KEY	PK_DESACT01
DOCTOSIGC01	INTEG_142	NOT NULL	
DOCTOSIGC01	INTEG_143	NOT NULL	
DOCTOSIGF01	INTEG_140	NOT NULL	
DOCTOSIGF01	INTEG_141	NOT NULL	
DOCTOSIGFC01	INTEG_354	NOT NULL	
DOCTOSIGFC01	INTEG_355	NOT NULL	
ENLACEFC01	INTEG_356	NOT NULL	
ENLACEFC01	INTEG_357	NOT NULL	
ENLACE_LTPD01	INTEG_51	NOT NULL	
FACTA01	INTEG_223	NOT NULL	
FACTA01	INTEG_224	NOT NULL	
FACTA01	INTEG_225	NOT NULL	
FACTA01	PK_FACTA01	PRIMARY KEY	PK_FACTA01
FACTA_CLIB01	INTEG_228	NOT NULL	
FACTA_CLIB01	PK_FACTA_CLIB01	PRIMARY KEY	PK_FACTA_CLIB01
FACTC01	INTEG_125	NOT NULL	
FACTC01	INTEG_126	NOT NULL	
FACTC01	INTEG_127	NOT NULL	
FACTC01	INTEG_128	NOT NULL	
FACTC01	PK_FACTC01	PRIMARY KEY	PK_FACTC01
FACTC_CLIB01	INTEG_195	NOT NULL	
FACTC_CLIB01	PK_FACTC_CLIB01	PRIMARY KEY	PK_FACTC_CLIB01
FACTD01	INTEG_131	NOT NULL	
FACTD01	INTEG_132	NOT NULL	
FACTD01	INTEG_133	NOT NULL	
FACTD01	INTEG_134	NOT NULL	
FACTD01	PK_FACTD01	PRIMARY KEY	PK_FACTD01
FACTD_CLIB01	INTEG_198	NOT NULL	
FACTD_CLIB01	PK_FACTD_CLIB01	PRIMARY KEY	PK_FACTD_CLIB01
FACTE01	INTEG_295	NOT NULL	
FACTE01	INTEG_296	NOT NULL	
FACTE01	INTEG_297	NOT NULL	
FACTE01	INTEG_298	NOT NULL	
FACTE01	PK_FACTE01	PRIMARY KEY	PK_FACTE01
FACTE_CLIB01	INTEG_301	NOT NULL	
FACTE_CLIB01	PK_FACTE_CLIB01	PRIMARY KEY	PK_FACTE_CLIB01
FACTF01	INTEG_109	NOT NULL	
FACTF01	INTEG_110	NOT NULL	
FACTF01	INTEG_111	NOT NULL	
FACTF01	PK_FACTF01	PRIMARY KEY	PK_FACTF01
FACTF_CLIB01	INTEG_186	NOT NULL	
FACTF_CLIB01	PK_FACTF_CLIB01	PRIMARY KEY	PK_FACTF_CLIB01
FACTG01	INTEG_285	NOT NULL	
FACTG01	INTEG_286	NOT NULL	
FACTG01	INTEG_287	NOT NULL	
FACTG01	PK_FACTG01	PRIMARY KEY	PK_FACTG01
FACTG_CLIB01	INTEG_290	NOT NULL	
FACTG_CLIB01	PK_FACTG_CLIB01	PRIMARY KEY	PK_FACTG_CLIB01
FACTP01	INTEG_119	NOT NULL	
FACTP01	INTEG_120	NOT NULL	
FACTP01	INTEG_121	NOT NULL	
FACTP01	INTEG_122	NOT NULL	
FACTP01	PK_FACTP01	PRIMARY KEY	PK_FACTP01
FACTP_CLIB01	INTEG_192	NOT NULL	
FACTP_CLIB01	PK_FACTP_CLIB01	PRIMARY KEY	PK_FACTP_CLIB01
FACTR01	INTEG_114	NOT NULL	
FACTR01	INTEG_115	NOT NULL	
FACTR01	INTEG_116	NOT NULL	
FACTR01	PK_FACTR01	PRIMARY KEY	PK_FACTR01
FACTR_CLIB01	INTEG_189	NOT NULL	
FACTR_CLIB01	PK_FACTR_CLIB01	PRIMARY KEY	PK_FACTR_CLIB01
FACTT01	INTEG_340	NOT NULL	
FACTT01	INTEG_341	NOT NULL	
FACTT01	INTEG_342	NOT NULL	
FACTT01	PK_FACTT01	PRIMARY KEY	PK_FACTT01
FACTT_CLIB01	INTEG_343	NOT NULL	
FACTT_CLIB01	PK_FACTT_CLIB01	PRIMARY KEY	PK_FACTT_CLIB01
FACTV01	INTEG_231	NOT NULL	
FACTV01	INTEG_232	NOT NULL	
FACTV01	INTEG_233	NOT NULL	
FACTV01	PK_FACTV01	PRIMARY KEY	PK_FACTV01
FACTV_CLIB01	INTEG_236	NOT NULL	
FACTV_CLIB01	PK_FACTV_CLIB01	PRIMARY KEY	PK_FACTV_CLIB01
FACT_GLOBAL01	INTEG_352	NOT NULL	
FACT_GLOBAL01	PK_FACT_GLOBAL01	PRIMARY KEY	PK_FACT_GLOBAL01
FOLCXC01	INTEG_138	NOT NULL	
FOLCXC01	PK_FOLCXC01	PRIMARY KEY	PK_FOLCXC01
FOLCXP01	INTEG_139	NOT NULL	
FOLCXP01	PK_FOLCXP01	PRIMARY KEY	PK_FOLCXP01
FOLIOSC01	INTEG_76	NOT NULL	
FOLIOSC01	INTEG_77	NOT NULL	
